@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
156,'2018/04/04 20:23:50:797',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
157,'2018/04/04 20:23:50:979',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
158,'2018/04/04 20:23:51:048',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
159,'2018/04/04 20:23:51:102',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
160,'2018/04/04 20:23:51:149',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
161,'2018/04/04 20:23:51:561',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
162,'2018/04/04 20:23:51:658',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
163,'2018/04/04 20:23:51:794',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
164,'2018/04/04 20:23:51:843',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
165,'2018/04/04 20:23:51:952',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913016,0.635551,0.952094,0.699782,0.447726
