@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1712,'2018/04/09 15:37:48:836',8,525.062744,335.748444,40.089687,448.688416,333.17276,63.177822,388.777161,332.074829,67.076279,314.514313,331.459442,66.021812,247.160065,338.265167,60.406708,0,0,0,0,0
1713,'2018/04/09 15:37:48:886',8,525.338318,335.544312,40.042477,449.131622,332.839417,63.130688,389.233612,331.649963,67.035896,314.973083,330.976929,65.987144,247.562286,337.738068,60.382442,0,0,0,0,0
1714,'2018/04/09 15:37:48:936',8,525.86377,335.097229,39.993954,450.094482,332.62384,63.097939,390.253296,331.51239,67.021454,315.983124,330.948822,65.992966,248.507187,337.758667,60.408829,0,0,0,0,0
1715,'2018/04/09 15:37:48:984',8,525.980347,335.038788,39.9911,450.339294,332.621552,63.096481,390.50885,331.509186,67.025398,316.255249,330.977081,66.001228,248.758881,337.758118,60.426132,0,0,0,0,0
1716,'2018/04/09 15:37:49:035',8,525.591492,335.133789,40.051479,449.79834,332.977478,63.145626,389.93277,331.926758,67.06839,315.704193,331.416992,66.035362,248.259552,338.141846,60.451691,0,0,0,0,0
1717,'2018/04/09 15:37:49:086',8,524.74884,335.123901,40.07122,448.862335,333.615112,63.159073,388.965179,332.714447,67.078812,314.778473,332.216064,66.039772,247.343719,338.735107,60.444244,0,0,0,0,0
1718,'2018/04/09 15:37:49:134',8,524.018921,335.210876,40.072891,448.274902,334.136505,63.164383,388.384552,333.333099,67.090836,314.235046,332.906738,66.055817,246.773148,339.301086,60.465759,0,0,0,0,0
1719,'2018/04/09 15:37:49:187',8,523.243042,335.202698,40.099735,447.43103,334.469177,63.18396,387.517761,333.727753,67.107918,313.401184,333.337952,66.066757,245.947876,339.614868,60.471165,0,0,0,0,0
1720,'2018/04/09 15:37:49:234',8,522.655457,335.52298,40.065872,446.713013,334.89917,63.141037,386.775452,334.108246,67.059959,312.677277,333.62616,66.01104,245.221954,339.754517,60.406773,0,0,0,0,0
1721,'2018/04/09 15:37:49:284',8,522.34967,335.934692,40.004398,446.466095,335.84903,63.078156,386.531708,335.07251,67.001472,312.442932,334.504974,65.954292,244.961838,340.42868,60.344475,0,0,0,0,0
